Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","BatteryHolder_Keystone_106_1x20mm",-2.074232,3.662999,180.000000,bottom
"J1","Power_inlet_vertical","Wurth-694106402002",-2.654795,3.963000,180.000000,bottom
"J2","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",-0.592000,2.688000,180.000000,bottom
"J3","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Vertical",-3.357000,2.003000,180.000000,bottom
"C1","C_0805_0.1uf","C_0805_2012Metric",3.507000,2.428000,180.000000,top
"C2","C_0805_1uf","C_0805_2012Metric",2.508535,3.596000,0.000000,top
"C3","C_0805_0.1uf","C_0805_2012Metric",2.308535,1.505000,0.000000,top
"C4","C_0805_0.1uf","C_0805_2012Metric",1.997000,2.083000,180.000000,top
"C5","C_0805_0.1uf","C_0805_2012Metric",2.834000,3.285000,0.000000,top
"C6","C_0805_10uf","C_0805_2012Metric",3.510000,2.523000,180.000000,top
"C8","C_0805_1uf","C_0805_2012Metric",1.437000,0.683000,180.000000,top
"C9","C_0805_22pf","C_0805_2012Metric",3.031000,1.370000,0.000000,top
"C10","C_0805_22pf","C_0805_2012Metric",2.315000,1.366535,-90.000000,top
"C11","C_0805_1uf","C_0805_2012Metric",0.817000,1.763000,0.000000,top
"C12","C_0805_0.1uf","C_0805_2012Metric",1.117000,2.143000,180.000000,top
"C13","C_0805_1uf","C_0805_2012Metric",0.743535,1.523000,0.000000,top
"C14","C_0805_0.1uf","C_0805_2012Metric",0.937000,3.043000,180.000000,top
"D1","LED_0805","LED_0805_2012Metric",4.000091,1.703000,0.000000,top
"DS1","LED_Display_1001","Adafruit-1001-0-0-MFG",2.317000,2.663000,90.000000,top
"R1","R_0805_22K","R_0805_2012Metric",3.513535,2.611000,0.000000,top
"R2","R_0805_4.7K","R_0805_2012Metric",3.596000,3.691000,0.000000,top
"R3","R_0805_10K","R_0805_2012Metric",1.190465,0.923000,0.000000,top
"R4","R_0805_4.7K","R_0805_2012Metric",3.608535,3.571000,0.000000,top
"R6","R_0805_10K","R_0805_2012Metric",3.597000,1.023000,0.000000,top
"R7","R_0805_10K","R_0805_2012Metric",2.197000,1.063000,180.000000,top
"R8","R_0805_47","R_0805_2012Metric",0.897000,2.643000,180.000000,top
"R9","R_0805_47","R_0805_2012Metric",0.883535,2.483000,180.000000,top
"R10","R_0805_10K","R_0805_2012Metric",2.392000,0.638000,0.000000,top
"R11","R_0805_2.2K","R_0805_2012Metric",3.683535,1.663000,0.000000,top
"SW1","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",1.117000,1.363000,0.000000,top
"SW2","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",1.817000,0.863000,0.000000,top
"SW3","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",2.817000,0.863000,0.000000,top
"SW4","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",3.517000,1.363000,0.000000,top
"U1","MAX7219","DIP-24_W7.62mm",3.937000,1.992803,180.000000,top
"U2","L7805","TO-252-2",2.500268,3.373236,0.000000,top
"U3","ATmega328-PU","DIP-28_W7.62mm",1.667394,1.613394,90.000000,top
"U4","DS1307_DIP-8","DIP-8_W7.62mm",3.177000,3.692606,0.000000,top
"Y1","Crystal_16MHz","Crystal_SMD_HC49-SD",2.667000,1.363000,180.000000,top
"Y2","Crystal_32768Hz","Crystal_SMD_2Pin_3.2x1.5mm",3.117000,3.938000,0.000000,top
